,City,Latitude,Longitude,Max Temp,Humidity,Wind Speed,Cloudiness,Country,Date
269,Sitka,57.0531,-135.33,64.94,59,1.66,46,US,1599436800
270,Flinders,-34.5833,150.8552,64.44,69,11.01,0,AU,1599436800
271,Saint-Philippe,-21.3585,55.7679,70.41,74,9.89,41,RE,1599436800
272,Guarujá,-23.9931,-46.2564,72.61,90,4.05,1,BR,1599436800
273,Quatre Cocos,-20.2078,57.7625,69.98,90,10.69,85,MU,1599436800
274,Perivoli,39.4206,20.0147,75.42,61,4.5,0,GR,1599436800
275,Muros,42.7762,-9.0603,62.91,73,13.62,2,ES,1599436800
276,Camopi,3.1655,-52.3158,77.0,91,3.13,14,GF,1599436800
277,Saldanha,-33.0117,17.9442,57.94,76,6.55,0,ZA,1599436800
278,Hūn,29.1268,15.9477,78.33,48,9.4,0,LY,1599436800
279,Yarega,63.4354,53.5765,51.12,94,4.43,42,RU,1599436800
280,Odoyev,53.9393,36.6864,60.01,64,5.59,85,RU,1599436800
281,Derzhavīnsk,51.1,66.3167,49.86,72,10.58,25,KZ,1599436800
282,Rosario,-32.9468,-60.6393,56.53,65,6.31,0,AR,1599436800
283,Pevek,69.7008,170.3133,43.86,71,15.32,0,RU,1599436800
284,Horki,54.2861,30.9842,59.99,97,6.67,100,BY,1599436800
285,Porbandar,21.6422,69.6093,82.2,84,8.37,46,IN,1599436800
286,Rundu,-17.9333,19.7667,61.48,32,4.61,0,NA,1599436800
287,Ndélé,8.4109,20.6473,69.6,97,2.28,100,CF,1599436800
288,Vostok,46.4856,135.8833,67.57,73,2.64,100,RU,1599436800
289,Sisimiut,66.9395,-53.6735,40.1,71,14.63,20,GL,1599436800
290,Ubon Ratchathani,15.2248,104.8529,78.93,93,5.68,45,TH,1599436800
291,Qaqortoq,60.7167,-46.0333,43.83,93,4.83,95,GL,1599436800
292,Sirsi,14.6167,74.85,70.72,100,2.04,75,IN,1599436800
293,Chontalpa,17.7,-93.5167,80.85,87,7.85,96,MX,1599436800
294,Dekar,-21.5333,21.9333,61.21,32,8.32,0,BW,1599436800
295,Jilib,0.4883,42.7854,72.77,86,3.96,12,SO,1599436800
296,Broken Hill,-31.95,141.4333,68.88,36,18.48,0,AU,1599436800
297,Adrar,20.5022,-10.0711,92.77,34,6.44,24,MR,1599436800
298,Noyon,49.5833,3.0,52.36,86,3.76,36,FR,1599436800
299,Ovsyanka,55.9575,92.5519,47.5,93,1.5,98,RU,1599436800
300,Port-Gentil,-0.7193,8.7815,76.66,77,10.02,36,GA,1599436800
301,Danané,7.2596,-8.155,70.2,97,2.55,82,CI,1599436800
302,Bambanglipuro,-7.95,110.2833,77.65,84,9.91,98,ID,1599436800
303,Arman',59.7,150.1667,51.91,76,3.06,99,RU,1599436800
304,San Miguel de Tucumán,-26.8241,-65.2226,59.2,68,2.48,95,AR,1599436800
305,Ciudad del Maíz,22.4,-99.6,69.44,81,3.36,97,MX,1599436800
306,Talnakh,69.4865,88.3972,49.03,82,1.9,70,RU,1599436800
307,Paraguarí,-25.6208,-57.1472,70.95,70,9.51,64,PY,1599436800
308,Northam,51.0333,-4.2167,56.03,87,4.61,82,GB,1599436800
309,Kahului,20.8947,-156.47,81.77,54,16.42,35,US,1599436800
310,Karia,11.7306,11.1629,73.65,84,4.18,100,NG,1599436800
311,Mahibadhoo,3.7833,72.9667,82.22,74,10.98,100,MV,1599436800
312,Zárate,-34.0981,-59.0286,48.92,48,6.53,0,AR,1599436800
313,Nyurba,63.2842,118.3319,47.73,86,4.47,39,RU,1599436800
314,Namatanai,-3.6667,152.4333,84.31,75,6.98,8,PG,1599436800
315,Moose Factory,51.2585,-80.6094,56.73,63,12.44,95,CA,1599436800
316,Shingū,33.7333,135.9833,79.74,90,15.88,95,JP,1599436800
317,Saint-Augustin,51.226,-58.6502,58.05,64,8.86,25,CA,1599436800
318,Santa Ana,33.7456,-117.8678,104.83,18,7.61,1,US,1599436800
319,Avarua,-21.2078,-159.775,72.16,65,17.6,19,CK,1599436800
320,Boa Vista,2.8197,-60.6733,81.32,73,4.5,79,BR,1599436800
321,Kinshasa,-4.3246,15.3215,77.27,70,4.97,59,CD,1599436800
322,Pringsewu,-5.3582,104.9744,75.72,92,2.21,68,ID,1599436800
323,Verkhoyansk,67.5447,133.385,48.4,74,11.61,100,RU,1599436800
324,Bagdarin,54.4333,113.6,56.08,84,0.56,100,RU,1599436800
325,Wewak,-3.5534,143.6268,83.14,79,8.68,32,PG,1599436800
326,Aykhal,66.0,111.5,43.93,85,5.55,93,RU,1599436800
327,Pochutla,15.7432,-96.4661,79.9,81,5.12,82,MX,1599436800
328,Evensk,61.95,159.2333,49.48,74,8.57,99,RU,1599436800
329,Adwa,14.1646,38.8955,60.71,76,1.83,0,ET,1599436800
330,Bilma,18.6853,12.9164,94.33,20,7.36,10,NE,1599436800
331,Maragogi,-9.0122,-35.2225,73.24,77,8.05,0,BR,1599436800
332,São João da Barra,-21.6403,-41.0511,73.42,84,18.37,23,BR,1599436800
333,Bluefield,37.2698,-81.2223,66.38,59,0.94,20,US,1599436800
334,Pierreville,46.0703,-72.8112,61.7,69,8.55,46,CA,1599436800
335,Sovetskiy,61.3614,63.5842,44.38,88,4.27,0,RU,1599436800
336,Coyhaique,-45.5752,-72.0662,44.42,72,2.37,46,CL,1599436800
337,Oistins,13.0667,-59.5333,81.95,74,11.43,30,BB,1599436800
338,Hefei,31.8639,117.2808,76.19,83,6.15,0,CN,1599436800
339,Olafsvik,64.8945,-23.7142,50.34,91,20.58,98,IS,1599436800
340,Posyet,42.6508,130.8046,63.45,85,11.43,100,RU,1599436800
341,Umluj,25.0213,37.2685,90.61,45,6.62,0,SA,1599436800
342,Pinheiro,-2.5214,-45.0825,77.63,76,3.53,63,BR,1599436800
343,Tabuk,17.4189,121.4443,79.77,82,0.65,91,PH,1599436800
344,Altay,47.8667,88.1167,55.92,59,2.42,100,CN,1599436800
345,Vitim,59.4511,112.5578,55.26,89,5.86,100,RU,1599436800
346,Ekuvukeni,-28.4675,30.1551,54.14,67,1.25,72,ZA,1599436800
347,Jishu,44.3167,126.8,66.25,86,8.43,100,CN,1599436800
348,Kumul,42.8,93.45,72.16,22,2.3,53,CN,1599436800
349,Takoradze,4.8845,-1.7554,75.15,87,8.93,42,GH,1599436800
350,Quesnel,52.9999,-122.5029,68.77,64,12.39,83,CA,1599436800
351,Labuhan,-6.8844,112.2051,79.09,80,9.42,51,ID,1599436800
352,Ghanzi,-21.5667,21.7833,61.3,32,9.31,0,BW,1599436800
353,Caluquembe,-13.7833,14.6833,56.8,81,1.97,2,AO,1599436800
354,Luena,-11.7833,19.9167,61.45,32,2.84,0,AO,1599436800
355,São Gabriel da Cachoeira,-0.1303,-67.0892,84.11,67,0.85,69,BR,1599436800
356,Port Blair,11.6667,92.75,82.08,82,7.96,100,IN,1599436800
357,Tura,25.5198,90.2201,74.07,98,4.72,100,IN,1599436800
358,Estevan,49.1334,-102.9842,64.02,30,19.55,68,CA,1599436800
359,Flin Flon,54.7682,-101.865,48.65,53,11.97,59,CA,1599436800
360,Huarmey,-10.0681,-78.1522,63.75,75,7.58,92,PE,1599436800
361,Podor,16.6527,-14.9587,86.09,75,12.62,38,MR,1599436800
362,Laas,46.6166,10.7002,58.69,80,2.71,62,IT,1599436800
363,Sibu,2.3,111.8167,73.38,98,4.14,69,MY,1599436800
364,Podgorenskiy,50.405,39.6429,60.67,33,6.42,15,RU,1599436800
365,Liverpool,53.4106,-2.9779,55.45,87,6.96,49,GB,1599436800
366,Alcúdia,39.8532,3.1214,74.52,70,8.63,45,ES,1599436800
367,Hamois,50.3348,5.1512,49.57,81,2.28,50,BE,1599436800
368,Jatiroto,-7.8833,111.1167,76.12,81,5.08,42,ID,1599436800
369,San Benito,16.9132,-89.9087,83.44,74,2.19,97,GT,1599436800
370,Tevriz,57.509,72.4042,44.44,95,9.73,100,RU,1599436800
371,Ubari,26.5921,12.7805,84.16,19,9.64,0,LY,1599436800
372,Tanete,-3.9443,119.7848,80.76,77,13.13,91,ID,1599436800
373,Saint-Pierre,-21.3393,55.4781,70.12,72,6.78,0,RE,1599436800
374,Coquimbo,-29.9533,-71.3436,55.47,78,2.95,46,CL,1599436800
375,Comodoro Rivadavia,-45.8667,-67.5,51.13,58,9.1,0,AR,1599436800
376,Nelson Bay,-32.7167,152.15,63.41,67,9.62,10,AU,1599436800
377,Shitanjing,39.2342,106.3439,68.74,32,3.69,59,CN,1599436800
378,Burnie,-41.0667,145.9167,56.03,69,4.41,23,AU,1599436800
379,Sistranda,63.7256,8.834,54.63,84,15.17,39,NO,1599436800
380,Leh,34.1667,77.5833,53.42,45,5.73,7,IN,1599436800
381,Glens Falls,43.3095,-73.644,65.75,62,2.1,16,US,1599436800
382,Ponta do Sol,32.6667,-17.1,70.81,74,2.15,31,PT,1599436800
383,Pervoavgustovskiy,52.2264,35.0552,61.36,51,5.86,89,RU,1599436800
384,Kokopo,-4.352,152.2633,84.76,75,4.83,4,PG,1599436800
385,Mont-Dore,-22.2833,166.5833,74.23,83,10.98,100,NC,1599436800
386,Antofagasta,-23.65,-70.4,56.35,75,5.41,65,CL,1599436800
387,Mbekenyera,-10.0,38.9833,65.97,80,2.24,7,TZ,1599436800
388,Staryy Nadym,65.6118,72.6842,42.57,79,3.44,6,RU,1599436800
389,Maxixe,-23.8597,35.3472,67.24,71,4.43,35,MZ,1599436800
390,Bandar-e Lengeh,26.5579,54.8807,85.91,68,11.05,0,IR,1599436800
391,Gōtsuchō,35.0,132.2167,80.65,73,29.64,96,JP,1599436800
392,Ati,13.2154,18.3353,78.17,76,8.95,77,TD,1599436800
393,Linxia Chengguanzhen,35.6003,103.2064,59.18,60,3.2,0,CN,1599436800
394,Lajas,18.05,-67.0593,79.9,87,5.93,77,PR,1599436800
395,Great Bend,38.3645,-98.7648,98.94,25,14.88,1,US,1599436800
396,Mana,5.6592,-53.7767,79.88,87,9.91,94,GF,1599436800
397,Gumdag,39.2061,54.5906,76.35,18,25.55,0,TM,1599436800
398,Lamego,41.0974,-7.8099,70.38,28,5.59,2,PT,1599436800
399,Chiredzi,-21.05,31.6667,61.16,68,4.0,2,ZW,1599436800
400,Yumen,40.2833,97.2,61.27,31,11.12,4,CN,1599436800
401,Gao,16.6362,1.637,85.69,60,10.02,4,ML,1599436800
402,Alice Springs,-23.7,133.8833,81.37,14,12.95,0,AU,1599436800
403,Inongo,-1.95,18.2667,70.47,89,4.05,53,CD,1599436800
404,Florida,28.7505,-82.5001,83.26,72,7.02,87,US,1599436800
405,Corn Island,12.1694,-83.0418,84.22,74,10.27,99,NI,1599436800
406,Sibolga,1.7427,98.7792,76.89,74,3.69,92,ID,1599436800
407,Bethel,41.3712,-73.414,71.11,59,4.18,69,US,1599436800
408,Chernyshevskiy,63.0128,112.4714,46.92,77,8.21,99,RU,1599436800
409,Marawi,7.9986,124.2928,76.62,83,1.1,34,PH,1599436800
410,Richmond,37.5538,-77.4603,75.47,48,6.38,10,US,1599436800
411,Fes,34.0372,-4.9998,80.53,53,3.42,32,MA,1599436800
412,Qandala,11.472,49.8728,86.54,62,4.21,58,SO,1599436800
413,Ponta Delgada,37.7333,-25.6667,69.06,76,19.77,59,PT,1599436800
414,Ahipara,-35.1667,173.1667,59.86,78,14.61,43,NZ,1599436800
415,Mackay,-21.15,149.2,72.52,71,17.11,30,AU,1599436800
416,Tuatapere,-46.1333,167.6833,54.72,61,1.81,19,NZ,1599436800
417,Kumhāri,21.2667,81.5167,78.66,87,5.61,12,IN,1599436800
418,Aklavik,68.2191,-135.0107,56.03,48,11.27,10,CA,1599436800
419,Brae,60.3964,-1.353,49.73,79,15.64,97,GB,1599436800
420,Yerbogachën,61.2767,108.0108,50.74,92,6.87,100,RU,1599436800
421,Serebryansk,49.6925,83.2892,37.87,85,3.33,54,KZ,1599436800
422,Lerwick,60.1545,-1.1494,50.14,78,16.13,100,GB,1599436800
423,Revin,49.9404,4.635,49.46,75,1.12,9,FR,1599436800
424,Keti Bandar,24.1447,67.4497,82.2,84,15.95,25,PK,1599436800
425,Getulio Vargas,-32.6796,-53.5494,53.28,79,8.03,99,UY,1599436800
426,Saint-Joseph,-21.3667,55.6167,69.33,74,9.15,19,RE,1599436800
427,Mosquera,4.7059,-74.2302,59.5,71,0.47,69,CO,1599436800
428,Yar-Sale,66.8333,70.8333,38.1,76,0.72,0,RU,1599436800
429,São Geraldo do Araguaia,-6.4006,-48.555,88.9,22,2.17,39,BR,1599436800
430,Carauari,-4.8828,-66.8958,89.58,42,1.83,18,BR,1599436800
431,Dunedin,-45.8742,170.5036,53.92,57,4.54,6,NZ,1599436800
432,Deep River,46.1001,-77.4995,60.06,68,5.35,35,CA,1599436800
433,Cabo San Lucas,22.8909,-109.9124,83.77,69,5.32,50,MX,1599436800
434,Tautira,-17.7333,-149.15,81.07,71,6.85,52,PF,1599436800
435,Hirara,24.8,125.2833,80.31,78,10.71,14,JP,1599436800
436,Kiryat Gat,31.61,34.7642,74.07,86,0.51,1,IL,1599436800
437,San Andrés,12.5847,-81.7006,86.04,73,8.99,46,CO,1599436800
438,Dryden,49.7833,-92.7503,58.68,60,12.41,43,CA,1599436800
439,Yerofey Pavlovich,53.9667,121.9667,59.13,82,1.92,0,RU,1599436800
440,Katherine,-14.4667,132.2667,86.77,34,15.66,83,AU,1599436800
441,Aksu,41.1231,80.2644,65.01,52,2.75,41,CN,1599436800
442,Porto Recanati,43.4365,13.6613,71.94,64,4.36,0,IT,1599436800
443,Hofn,64.2539,-15.2082,52.29,93,6.4,96,IS,1599436800
444,Kiruna,67.8557,20.2251,38.62,91,2.37,32,SE,1599436800
445,Springbok,-29.6643,17.8865,54.07,44,5.01,0,ZA,1599436800
446,Kodinsk,58.6881,99.1844,46.29,74,3.33,72,RU,1599436800
447,Humaitá,-7.5061,-63.0208,94.35,21,2.66,54,BR,1599436800
448,Nadym,65.5333,72.5167,42.4,78,4.16,5,RU,1599436800
449,Nisibis,37.0778,41.2178,80.56,19,2.73,0,TR,1599436800
450,Esperance,-33.8667,121.9,54.82,86,18.92,95,AU,1599436800
451,Avera,33.194,-82.5271,79.59,45,6.08,1,US,1599436800
452,Kamenka,51.3223,42.7678,59.85,34,7.43,74,RU,1599436800
453,Usinsk,65.9939,57.5281,51.76,94,10.83,57,RU,1599436800
454,City of San Pedro,14.35,121.0167,82.99,78,2.06,100,PH,1599436800
455,Chimbote,-9.0853,-78.5783,62.98,78,6.91,38,PE,1599436800
456,Paamiut,61.994,-49.6678,44.42,94,6.71,100,GL,1599436800
457,Haines Junction,60.7522,-137.5108,60.64,39,3.33,0,CA,1599436800
458,Dalvik,65.9702,-18.5286,53.22,78,13.06,86,IS,1599436800
459,Karpathos,35.507,27.2132,75.96,81,13.47,0,GR,1599436800
460,Batemans Bay,-35.7167,150.1833,65.14,70,7.72,1,AU,1599436800
461,Puertollano,38.6871,-4.1073,74.19,34,2.08,0,ES,1599436800
462,Vanavara,60.34,102.2797,46.87,82,0.87,100,RU,1599436800
463,São Filipe,14.8961,-24.4956,78.15,82,18.92,46,CV,1599436800
464,Ugoofaaru,5.6667,73.0,82.18,77,12.55,100,MV,1599436800
465,Madera,37.1666,-119.8343,113.72,17,10.04,20,US,1599436800
466,Ngunguru,-35.6167,174.5,61.0,44,11.41,12,NZ,1599436800
467,Ürümqi,43.801,87.6005,64.13,48,19.37,97,CN,1599436800
468,Atar,20.5169,-13.0499,92.53,36,9.93,100,MR,1599436800
469,Hereford,52.0568,-2.7148,51.87,91,2.21,46,GB,1599436800
470,Mairang,25.5667,91.6333,62.83,100,4.79,92,IN,1599436800
471,Bull Savanna,17.8868,-77.5902,80.8,80,5.32,88,JM,1599436800
472,Pisco,-13.7,-76.2167,61.56,78,5.44,26,PE,1599436800
473,Rawson,-43.3002,-65.1023,55.58,43,7.67,0,AR,1599436800
474,Vestmannaeyjar,63.4427,-20.2734,51.93,92,23.4,94,IS,1599436800
475,Ous,60.9058,61.5186,46.67,95,4.29,3,RU,1599436800
476,Rocha,-34.4833,-54.3333,46.04,87,3.94,3,UY,1599436800
477,Moerai,-22.4333,-151.3333,70.29,83,12.77,100,PF,1599436800
478,Kenai,60.5544,-151.2583,59.59,47,9.1,42,US,1599436800
479,Luba,3.4568,8.5547,76.1,91,7.36,55,GQ,1599436800
480,Prince Rupert,54.3161,-130.3201,61.47,91,2.13,91,CA,1599436800
481,Dourbali,11.8091,15.8632,72.93,89,2.24,73,TD,1599436800
482,Aldan,58.6031,125.3894,50.99,86,2.73,53,RU,1599436800
483,Chāmpua,22.0833,85.6667,76.68,91,6.76,99,IN,1599436800
484,Lena,43.1,-5.7333,51.49,97,2.15,96,ES,1599436800
485,Bhag,29.0415,67.8239,91.92,35,5.82,0,PK,1599436800
486,Esso,55.9333,158.7,49.44,84,3.89,100,RU,1599436800
487,Powell River,49.8496,-124.5361,71.98,62,9.26,61,CA,1599436800
488,Hermosillo,29.0667,-110.9667,106.48,18,4.88,20,MX,1599436800
489,Bijie,27.3125,105.2942,62.42,91,2.42,100,CN,1599436800
490,Murgab,37.4966,61.9714,62.58,30,8.43,0,TM,1599436800
491,Thomasville,35.8826,-80.082,72.86,59,4.54,0,US,1599436800
492,Teluk Nibung,3.001,99.8164,75.69,92,3.96,100,ID,1599436800
493,Trairi,-3.2778,-39.2689,78.33,75,8.99,61,BR,1599436800
494,Ludvika,60.1496,15.1878,45.75,86,2.91,75,SE,1599436800
495,Ribeira Brava,32.65,-17.0667,70.88,74,2.26,28,PT,1599436800
496,Belgrade,44.804,20.4651,69.35,56,5.61,0,RS,1599436800
497,Bryan,30.6744,-96.37,88.11,57,3.71,58,US,1599436800
498,Kutum,14.2,24.6667,76.66,59,12.37,35,SD,1599436800
499,Ordu,40.9086,37.6845,62.71,100,3.89,13,TR,1599436800
500,Suntar,62.1444,117.6319,50.74,79,2.91,28,RU,1599436800
501,Bereket,39.2446,55.5154,75.36,18,22.66,0,TM,1599436800
502,Puerto Madryn,-42.7692,-65.0385,57.76,38,9.75,0,AR,1599436800
503,Anadyr,64.75,177.4833,49.98,83,10.29,61,RU,1599436800
504,Tiksi,71.6872,128.8694,43.79,87,5.41,99,RU,1599436800
505,Nosy Varika,-20.5833,48.5333,62.2,90,8.37,23,MG,1599436800
506,Inhambane,-23.865,35.3833,67.91,69,5.41,37,MZ,1599436800
507,Naudero,27.6648,68.3622,87.53,54,8.5,0,PK,1599436800
508,Port Moresby,-9.4431,147.1797,82.51,77,5.28,50,PG,1599436800
509,Te Anau,-45.4167,167.7167,49.32,71,1.92,24,NZ,1599436800
510,Kedrovyy,56.1667,91.8167,43.86,97,1.01,87,RU,1599436800
511,Ruska Poliana,49.417,31.9201,64.8,54,3.2,25,UA,1599436800
512,Ulaangom,49.9811,92.0667,54.14,55,5.95,50,MN,1599436800
513,Rio Tuba,8.5061,117.4317,83.95,71,3.36,88,PH,1599436800
514,Auki,-8.7676,160.7034,85.14,74,1.34,47,SB,1599436800
515,Kondopoga,62.2057,34.2614,51.51,98,4.45,51,RU,1599436800
516,Ibrā’,22.6906,58.5334,79.18,64,4.29,0,OM,1599436800
517,Belene,43.65,25.1167,68.29,58,4.34,3,BG,1599436800
518,Lázaro Cárdenas,17.9583,-102.2,84.04,73,3.71,24,MX,1599436800
519,Itaituba,-4.2761,-55.9836,90.3,35,1.43,42,BR,1599436800
520,Natal'insk,56.4739,57.8698,48.56,92,5.91,39,RU,1599436800
521,Nishihara,26.1842,127.7558,79.29,91,12.33,59,JP,1599436800
522,Cacoal,-11.4386,-61.4472,93.76,19,2.68,0,BR,1599436800
523,Sena Madureira,-9.0656,-68.6569,88.23,46,1.99,70,BR,1599436800
524,Bida,9.0833,6.0167,73.36,91,2.75,37,NG,1599436800
525,Taldan,53.6667,124.8,56.8,90,3.89,0,RU,1599436800
526,Pahrump,36.2083,-115.9839,109.31,7,12.24,3,US,1599436800
527,Savinka,50.0785,47.0994,61.75,34,9.26,8,RU,1599436800
528,Puerto Ayacucho,5.6639,-67.6236,82.69,77,3.42,70,VE,1599436800
529,Daru,-9.0763,143.2092,78.96,85,17.6,96,PG,1599436800
530,Kaeo,-35.1,173.7833,62.13,39,10.54,33,NZ,1599436800
531,Severo-Yeniseyskiy,60.3725,93.0408,36.9,93,2.57,8,RU,1599436800
532,Okhotsk,59.3833,143.3,52.32,93,7.11,100,RU,1599436800
533,Qurayyat,31.3318,37.3428,84.83,21,6.4,13,SA,1599436800
534,Makakilo City,21.3469,-158.0858,82.33,69,18.07,58,US,1599436800
535,Nago,26.5881,127.9761,79.93,85,11.83,33,JP,1599436800
536,Guthrie,35.8789,-97.4253,89.47,43,14.88,1,US,1599436800
537,Allen,41.0706,-85.0144,74.35,67,12.21,87,US,1599436800
538,Rongcheng,30.634,117.8517,76.15,73,2.21,0,CN,1599436800
539,Egvekinot,66.3167,-179.1667,44.04,66,2.66,87,RU,1599436800
540,Bengkulu,-3.8004,102.2655,75.87,89,6.64,100,ID,1599436800
